2021-01-12 01:32:19 status half-configured libssh2-1:amd64 1.8.0-2.1
2021-01-12 01:32:19 status installed libssh2-1:amd64 1.8.0-2.1
2021-01-12 01:32:19 configure libkrb5-3:amd64 1.17-3+deb10u1 <none>
2021-01-12 01:32:19 status unpacked libkrb5-3:amd64 1.17-3+deb10u1
2021-01-12 01:32:19 status half-configured libkrb5-3:amd64 1.17-3+deb10u1
2021-01-12 01:32:19 status installed libkrb5-3:amd64 1.17-3+deb10u1
2021-01-12 01:32:19 configure re2c:amd64 1.1.1-1 <none>
2021-01-12 01:32:19 status unpacked re2c:amd64 1.1.1-1
2021-01-12 01:32:19 status half-configured re2c:amd64 1.1.1-1
2021-01-12 01:32:19 status installed re2c:amd64 1.1.1-1
2021-01-12 01:32:19 configure libbinutils:amd64 2.31.1-16 <none>
2021-01-12 01:32:19 status unpacked libbinutils:amd64 2.31.1-16
2021-01-12 01:32:19 status half-configured libbinutils:amd64 2.31.1-16
2021-01-12 01:32:19 status installed libbinutils:amd64 2.31.1-16
2021-01-12 01:32:19 configure cpp-8:amd64 8.3.0-6 <none>
2021-01-12 01:32:19 status unpacked cpp-8:amd64 8.3.0-6
2021-01-12 01:32:19 status half-configured cpp-8:amd64 8.3.0-6
2021-01-12 01:32:19 status installed cpp-8:amd64 8.3.0-6
2021-01-12 01:32:19 configure libc-dev-bin:amd64 2.28-10 <none>
2021-01-12 01:32:19 status unpacked libc-dev-bin:amd64 2.28-10
2021-01-12 01:32:19 status half-configured libc-dev-bin:amd64 2.28-10
2021-01-12 01:32:19 status installed libc-dev-bin:amd64 2.28-10
2021-01-12 01:32:19 configure openssl:amd64 1.1.1d-0+deb10u4 <none>
2021-01-12 01:32:19 status unpacked openssl:amd64 1.1.1d-0+deb10u4
2021-01-12 01:32:19 status half-configured openssl:amd64 1.1.1d-0+deb10u4
2021-01-12 01:32:19 status installed openssl:amd64 1.1.1d-0+deb10u4
2021-01-12 01:32:19 configure libcc1-0:amd64 8.3.0-6 <none>
2021-01-12 01:32:19 status unpacked libcc1-0:amd64 8.3.0-6
2021-01-12 01:32:19 status half-configured libcc1-0:amd64 8.3.0-6
2021-01-12 01:32:19 status installed libcc1-0:amd64 8.3.0-6
2021-01-12 01:32:19 configure liblsan0:amd64 8.3.0-6 <none>
2021-01-12 01:32:19 status unpacked liblsan0:amd64 8.3.0-6
2021-01-12 01:32:19 status half-configured liblsan0:amd64 8.3.0-6
